"ID","Life Expectancy at Birth","Standard Error of the Life Expectancy at Birth"
9003500200,75.3,3.4541
9003500300,71.9,2.7992
9003500400,75.3,1.76
9003500500,78,3.8704
9003500900,75.6,1.7688
9003501200,68.9,1.8357
9003501300,75.6,3.0278
9003501400,79.2,3.626
9003501500,80.7,3.4006
9003501800,74.2,2.1289
9003502100,81.2,2.2608
9003502300,78.5,1.3682
9003502400,78.6,2.6777
9003502500,76.2,2.4985
9003502600,79.8,2.7993
9003502700,77.5,1.5478
9003502800,73.5,2.5114
9003502900,77.8,2.8827
9003503000,76,2.9472
9003503100,80.8,3.5744
9003503300,77.2,3.5129
9003503500,75.6,2.2546
9003503700,75.5,1.2871
9003503900,75.8,1.5121
9003504000,79.1,2.2127
9003504200,74.2,1.8545
9003504300,73.7,1.842
9003504500,79.2,2.9235
9003504800,75,2.101
9003504900,76.7,2.5147
9003524400,76.7,2.0446
9003524501,78,1.928
9003524502,80.6,2.8052
9003524700,82.5,2.8012
